trial,combined_final_avg,combined_best_val_avg,per_object_final,per_object_best_val,params
72,1.626987974670836,1.7685521014697188,"[1.8677473993965912, 1.3720527446323731, 1.6411637799835437]","[1.8830454667146195, 1.7059636338624697, 1.7166472038320668]","{'cx_lr': 0.001733723878435316, 'cx_lambda_intensity': 7.671629450828364, 'cx_lambda_binary': 0.5781188169406123, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 32, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 27, 'cx_blender_loss_weight': 3.433691621518031}"
48,1.6201303445759088,1.743922416251371,"[1.663120812744101, 1.5142710502974839, 1.6829991706861414]","[1.92891608282636, 1.586117905590766, 1.7167332603369871]","{'cx_lr': 0.0005149470297723977, 'cx_lambda_intensity': 1.873105667351141, 'cx_lambda_binary': 1.8947134893578585, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 8, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 71, 'cx_blender_loss_weight': 2.5741374413670104}"
1,1.5634681479588615,1.619685924728418,"[1.7718871307723019, 1.1922476167653127, 1.7262696963389694]","[1.8721197807490788, 1.2558907178684962, 1.73104727556768]","{'cx_lr': 0.0066967819843851755, 'cx_lambda_intensity': 3.9056859671540343, 'cx_lambda_binary': 0.42462325129761747, 'cx_generator': 'points', 'cx_use_lr_decay': True, 'cx_tol': 26, 'cx_blender_loss_weight': 1.3455580998729861}"
69,1.5616733790449582,1.6027948206425167,"[1.8291291597109702, 1.13767230088168, 1.7182186765422243]","[1.8931828489191478, 1.1899645304125175, 1.7252370825958847]","{'cx_lr': 0.0012154331140931819, 'cx_lambda_intensity': 1.3422018815131456, 'cx_lambda_binary': 0.22758629484720788, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 65, 'cx_blender_loss_weight': 3.569731789971636}"
80,1.557851139041719,1.5944553246417534,"[1.79207170592481, 1.1868660460640479, 1.6946156651362987]","[1.8742278993034107, 1.1844853101375923, 1.7246527644842577]","{'cx_lr': 0.00228779379384754, 'cx_lambda_intensity': 2.482593290417937, 'cx_lambda_binary': 0.60277393269179, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 73, 'cx_blender_loss_weight': 0.9910320208519454}"
29,1.550710555395879,1.8341068966152765,"[1.2488978990117148, 1.7638091640605604, 1.6394246031153616]","[1.9374258828090385, 1.8474371046274145, 1.717457702409376]","{'cx_lr': 0.0027304762519029624, 'cx_lambda_intensity': 5.273598257052211, 'cx_lambda_binary': 1.3917866502174692, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 16, 'cx_hidden': 128, 'cx_n_layers': 4, 'cx_use_lr_decay': True, 'cx_tol': 122, 'cx_blender_loss_weight': 3.1215753357525537}"
35,1.5367398056427553,1.6224633639473633,"[1.7960692628030124, 1.0916826981462409, 1.722467455979013]","[1.8724891227203115, 1.2638513058399465, 1.7310496632818317]","{'cx_lr': 0.002582297880453058, 'cx_lambda_intensity': 2.931729314801043, 'cx_lambda_binary': 0.3442231607769629, 'cx_generator': 'points', 'cx_use_lr_decay': True, 'cx_tol': 49, 'cx_blender_loss_weight': 3.6180749792894957}"
7,1.536142854210785,1.5864124586208934,"[1.8726256325770678, 1.007983017928155, 1.7278199121271323]","[1.8977735376963847, 1.133771332608549, 1.7276925055577466]","{'cx_lr': 0.000106716761621312, 'cx_lambda_intensity': 31.59659975400149, 'cx_lambda_binary': 3.75877270436027, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 96, 'cx_blender_loss_weight': 1.1397250413344708}"
5,1.5335993544889284,1.5937069595852666,"[1.8419212265735334, 1.0321629867926787, 1.7267138501005723]","[1.8985329494897014, 1.1559204584406924, 1.7266674708254068]","{'cx_lr': 0.00028935243841146256, 'cx_lambda_intensity': 8.067150953421875, 'cx_lambda_binary': 0.4398283374615557, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 83, 'cx_blender_loss_weight': 1.443283998163948}"
46,1.5283520680042493,1.5911505415954423,"[1.8289161332846384, 1.1072991002309114, 1.648840970497198]","[1.8721197807490788, 1.1617281470307899, 1.7396036970064588]","{'cx_lr': 0.00306143660979458, 'cx_lambda_intensity': 14.970006383185497, 'cx_lambda_binary': 0.11998998205739035, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 32, 'cx_blender_loss_weight': 0.996040418111145}"
4,1.5266161555236553,1.5944618527591412,"[1.8591205306813114, 1.0024006913056387, 1.7183272445840156]","[1.8938361914356716, 1.1651686437445319, 1.7243807230972203]","{'cx_lr': 0.00044337507050333166, 'cx_lambda_intensity': 2.276716917373388, 'cx_lambda_binary': 0.18096106159275505, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 36, 'cx_blender_loss_weight': 0.9109058013206811}"
6,1.5201892698932715,1.592551816518344,"[1.834638530421766, 0.9946841379989211, 1.7312451412591277]","[1.8992111480856328, 1.147199160210272, 1.7312451412591277]","{'cx_lr': 0.00012417897358472536, 'cx_lambda_intensity': 39.06189885931262, 'cx_lambda_binary': 0.4626865927692567, 'cx_generator': 'points', 'cx_use_lr_decay': False, 'cx_tol': 76, 'cx_blender_loss_weight': 3.8174130729810867}"
19,1.5046947818317296,1.7620596112449014,"[1.591828072899931, 1.2845118299627283, 1.6377444426325292]","[1.923063801825385, 1.6452615992333162, 1.7178534326760024]","{'cx_lr': 0.00040570846631767063, 'cx_lambda_intensity': 1.633809857571799, 'cx_lambda_binary': 0.31046732403239197, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 37, 'cx_blender_loss_weight': 0.2270224159527207}"
0,1.502723872873868,1.6358079176203255,"[1.8556723082619637, 1.0002613109863014, 1.652237999373339]","[1.891057650432109, 1.284571934158726, 1.7317941682701412]","{'cx_lr': 0.0037324484976817432, 'cx_lambda_intensity': 1.3999650758800692, 'cx_lambda_binary': 4.653392586460027, 'cx_generator': 'points', 'cx_use_lr_decay': True, 'cx_tol': 137, 'cx_blender_loss_weight': 4.200103377904265}"
